 1  50   4.135  -4.638   0.212  10.588   4.734  -2.435  -1.210   3.327
 2  50   3.731  -0.218  -2.597   1.621  -1.046  -3.559  -3.622   0.666
 6  50   8.824   2.150  -2.833   0.379   2.055   1.239  -0.858  -3.133
 7  50   5.449  -2.017  -8.444  -5.991   2.547  -5.870  -8.472  -3.888
10  50   7.663  -5.168  -2.763   6.719   6.997  -5.316  -1.347   6.896
11  50   5.775   7.742   5.852  12.000  17.818   5.840   2.728  11.023
12  50   7.148   0.348  -1.569  -0.241   8.751   0.626   1.451   2.723
13  50   9.268  -3.011  -3.375   2.090   9.766   0.090  -2.609   1.063
21  50   8.843   5.557  -6.122  -6.862  21.252  14.397  -2.983  -5.379
23  50   8.813   1.550   0.161  10.314  12.329   3.145  -1.100  10.471
24  50   4.304  -0.449  -2.021   2.232  10.780   0.109  -0.636   0.913
 3 400  -0.087  -3.691  -2.568   0.833   6.524  -1.107  -1.312   1.253
 4 400   8.196  -1.491  -5.522  -0.705  14.818   3.012  -5.771  -3.600
 5 400   3.733  -3.639  -5.817   3.382  10.345  -2.151  -2.676   2.383
 8 400  12.988   1.634  -5.434   2.524   6.292  -3.716  -6.745  -1.802
14 400  11.859   7.439   2.065   1.471  16.598   7.117   1.489   3.827
15 400   3.019   2.931   4.428  10.433   2.371  -0.484   0.673   2.949
16 400   0.408  -4.500  -6.261  -0.005  -0.600  -2.370  -2.563  -1.817
17 400   2.955  -4.797  -7.716   2.417   8.900  -3.387  -7.440   2.901
18 400   8.318  -3.251  -3.156   8.021  10.604  -1.891  -2.809   3.923
19 400  17.396   8.594   1.361  -0.101   6.941   0.268  -1.827  -3.662
20 400  10.162  -1.031  -2.643  -5.079   9.171  -1.521  -4.483  -4.323
22 400  17.643   6.466  -4.016   1.733  12.871   2.750  -3.685  -2.140
