MERCURY    TRACER       8499   9174 10.3 17.6 105 308 F 59.9 .72  . 33.0  59
MERKUR     SCORPIO     23500  26000 10.1 17.5 130 250 E 59.4 .75 70 21.0  60
MITSUBISHI CORDIATURB  11329  12305  8.5 16.5 115 282 V 62.0 .76 72 19.4  61
MITSUBISHI MIRAGETURB  11619  12877  8.0 16.2 125 243 V 64.5 .79 72 21.0  62
MITSUBISHI STARIONESI  17300  17300  8.3 16.2   . 260 ? 64.6 .83 74 18.5  63
NISSAN     PULSARNXSE  12000  13050 10.3 17.8 115 246 V 63.8 .81 73 24.0  64
NISSAN     SENTRASPCP   9699  10369 13.3 19.0 100 264 V 60.7 .83 74 27.0  65
NISSAN     240SX       13000  14500  8.8 16.5 125 252 V 64.1 .82 71 25.0  66
NISSAN     300ZX2+2    20649  23099  8.8 16.5 125 273 F 61.4 .79 71 19.8  67
OLDSMOBILE CUTLASSINT  15644  17153 11.4 18.3   . 283 F 62.8 .82 71 20.5  68
PEUGEOT    505STX      23750  23750  9.8 17.2 125 244 E 59.4 .77 72 24.0  69
PEUGEOT    505TURBO    18740  19415  8.9 16.8   . 270 ? 60.2 .79 72 18.5  70
PLYMOUTH   HORIZON      5499   6662 10.2 17.7   . 335 P 62.0 .73 73 24.5  71
PONTIAC    BONNEVILLE  16299  18104  9.5 17.2 115 292 F 61.2 .   70 18.0  72
PONTIAC    FIEROFORMU  11000  13000  8.0 16.0 125 268 G 63.9 .83 74 17.2  73
PONTIAC    FIREBRDGTA  13259  18358  7.1 15.5 145 281 G 63.8 .84 74 14.8  74
PONTIAC    GRNDPRIXSE  15249  16261  9.7 17.1   . 282 F 63.8 .81 73 21.5  75
PONTIAC    LEMANS       7300   8250 12.1 18.7 100 302 F 59.1 .73 73 30.5  76
PORSCHE    924S        24935  26837  8.5 16.4 128 261 G 61.9 .78 74 19.8  77
PORSCHE    944         29100  32221  8.7 16.6 121 248 V 64.4 .79 75 21.2  78
PORSCHE    944S        34580  37701  8.0 16.2 131 252 V 62.8 .83 74 19.0  79
PORSCHE    944TURBO    37335  40456  6.6 15.1 149 237 E 61.8 .80 73 16.2  80
PORSCHE    944TURBOS   47432  48060  5.5 14.2 162 232 E 65.1 .89 73 18.5  81
PORSCHE    911CABRIO   52895  60576  6.5 15.0 149 237 E 64.5 .88 78 22.5  82
PORSCHE    911CLUBSPR  45895  46643  5.7 14.3 149 260 V 61.6 .84 78 18.0  83
PORSCHE    911TURBO    48000  49142  5.0 13.4 153 245 ?   .  .84 78 17.0  84
PORSCHE    928S4       58900  62261  5.5 13.9 165 234 E 62.6 .   71 16.0  85
ROVER      RANGE       30825  30825  12.6 19.0 90 316 P 55.0 .66 71 13.5  86
RUF        3.4TURBO   132000 150000  4.5 13.0 158 243 ?   .  .    .   .   87
SAAB       9000        21945  21945  7.6 15.6 124 271 G 59.8 .78 68 21.0  88
STERLING   825SL       19000  24195 10.0 17.6 129 246 E 62.8 .78 71 19.5  89
SUBARU     JUSTYGL      6666   7572 11.1 18.2   . 272 G 59.6 .73 75 29.5  90
SUBARU     JUSTY4WDGL   7266   8097 12.0 18.5   .   . G 60.4 .70  . 29.9  91
SUBARU     XT64WD      16956  17033  9.2 16.7   .   . V 63.0 .78  . 24.4  92
TOYOTA     CELICAGTS   13698  16403  8.6 16.5 123 274 V 61.1 .81 71 20.2  93
TOYOTA     CELICAALTR  20000  22540  7.7 15.6 134 263 E 63.3 .82 73 20.0  94
TOYOTA     COROLLFX16  10668  13378  9.2 17.0 105 254 V 62.5 .80 74 25.5  95
TOYOTA     MR2         10999  13174  8.4 16.5 121 252 E 63.2 .85 73 26.4  96
TOYOTA     MR2SPRCHRG  17500  17500  7.0 15.3 135 258 V 64.0 .80  . 21.1  97
TOYOTA     SUPRA       19990  23112  7.9 16.0 130 259 E 61.7 .86 70 19.0  98
TOYOTA     TERCELDX     6378   8248 11.4 18.3   . 294 F 60.6 .69 72 28.2  99
VOLKSWAGEN FOXGL        6490   7730 10.8 18.0 100 287 G 60.8 .    . 25.0 100
VOLKSWAGEN GTI16V      12995  15315  8.5 16.5 122 258 V 64.0 .83 75 24.0 101
VOLKSWAGEN JETTAGLI16  13725  16255  8.8 16.6 121 249 V 64.3 .82 73 24.0 102
VOLKSWAGEN QUANTMGL5S  20705  20705  9.8 17.4   .   . V 60.0 .78  . 21.5 103
VOLKSWAGEN SCIROCCO16  11980  13565  7.7 16.1 125 257 V 64.3 .80 76 25.6 104
VOLVO      740TURBWGN  21340  21340  8.4 16.6 115 263 V 57.2 .75 69 24.0 105

