    1    5    0    1  433  398  339  182
    2    6    0    1  544  498  496  316
    3    7    0    1  595  410  358  328
    4    9    0    1  470  395  327  208
    5   11    0    1  450  419  534  253
    6   12    0    1  371  442  458  205
    7   15    0    1  546  455  517  318
    8   16    0    1  387  527  502  489
    9   17    0    1  543  293  442   33
   10    3    3    1  278  535  553  197
   11    5    3    1  554  749  433  359
   12    6    3    1  161  256  477  287
   13    7    3    1  710  609  496  249
   14    9    3    1  341  494  345  152
   15   11    3    1  427  496  398  252
   16   12    3    1  488  232  329  296
   17   15    3    1  462  288  309  244
   18   16    3    1  329  370  402  127
   19   17    3    1  588  329  661  225
   20    3    6    1  494  405  563  218
   21    5    6    1  700  453  436  304
   22    6    6    1  733  724  465  320
   23    7    6    1 1002 1367 1055  531
   24    9    6    1 1104  840  817  816
   25   11    6    1 1165  598  581  433
   26   12    6    1  559  419  537  393
   27   15    6    1  783  457  408  282
   28   16    6    1   71  764 1135  800
   29   17    6    1  308  466  631  453
   30    3    0    0  312  368  637  327
   31    5    0    0  529  468  735  467
   32    6    0    0  694  623  592  462
   33    7    0    0  417  563  514  332
   34    9    0    0  481  625  665  404
   35   11    0    0  441  747  611  526
   36   12    0    0  483  516  640  431
   37   15    0    0  405  462  981  798
   38   16    0    0  390  585  451  305
   39   17    0    0  546  736  512  321
   40    3    3    0  166  691  523  415
   41    5    3    0  235  635  589  474
   42    6    3    0  477  705  697  349
   43    7    3    0  390  549  641  426
   44    9    3    0  875 1222 1304  962
   45   11    3    0  297  664  646  745
   46   12    3    0  651  995 2096 1085
   47   15    3    0  419  529  606  291
   48   16    3    0  537  741  657  354
   49   17    3    0  901  759  751  765
   50    3    6    0  347  851  723  482
   51    5    6    0 1296  486  581  377
   52    6    6    0  294  517  487  283
   53    7    6    0  404 1310 1005 1669
   54    9    6    0  581  845 1329  496
   55   11    6    0  722  778  732  526
   56   12    6    0  580  771  775  309
   57   15    6    0  999 1014 1073 1563
   58   16    6    0 1290  689  627  260
   59   17    6    0  721 1034 1622 1631
