  0  2.66 1.11
  0  2.66 1.18
  0  2.34 1.13
  0  2.34 1.09
  0  2.68 1.26
  0  2.44 1.10
  0  2.43 1.15
  0  2.79 1.27
  0  2.80 1.21
  0  2.61 1.17
 50  1.76 0.98
 50  1.56 1.06
 50  2.28 1.40
 50  1.74 1.01
 50  1.95 1.14
 50  1.82 1.02
 50  1.91 1.13
 50  1.83 1.20
 50  2.24 1.27
 50  1.91 1.14
100  1.58 1.11
100  1.56 1.10
100  1.48 1.18
100  1.55 1.12
100  1.51 1.13
100  1.92 1.32
100  1.48 1.20
100  1.48 1.05
100  1.72 1.28
100  1.52 1.23
200  1.28 1.01
200  1.30 1.08
200  1.24 1.01
200  1.30 1.06
200  1.26 1.12
200  1.42 1.38
200  1.20 1.11
200  1.20 1.15
200  1.39 1.27

